City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,6.81,65,20,7.2,AR,1730339577
1,port-aux-francais,-49.35,70.2167,4.22,84,25,10.88,TF,1730339578
2,arawa,-6.2132,155.5367,28.83,79,100,1.2,PG,1730339579
3,college,64.8569,-147.8028,-10.01,75,20,1.54,US,1730339580
4,sebastopol,44.6,33.5333,11.11,63,15,4.09,UA,1730339582
5,grytviken,-54.2811,-36.5092,0.36,83,39,4.68,GS,1730339583
6,ribeira grande,38.5167,-28.7,20.99,89,9,7.15,PT,1730339584
7,yellowknife,62.456,-114.3525,-11.44,98,75,2.57,CA,1730339585
8,puerto natales,-51.7236,-72.4875,8.18,96,100,1.73,CL,1730339586
9,cannonvale,-20.2833,148.7,26.66,56,0,4.24,AU,1730339587
10,blackmans bay,-43.0167,147.3167,14.18,71,81,0.89,AU,1730339588
11,glace bay,46.1969,-59.957,5.5,82,100,3.13,CA,1730339255
12,iqaluit,63.7506,-68.5145,-0.15,86,100,8.23,CA,1730339471
13,hamilton,39.1834,-84.5333,21.0,66,0,4.63,US,1730339589
14,edinburgh of the seven seas,-37.0676,-12.3116,13.19,80,12,6.5,SH,1730339593
15,minas de marcona,-15.2119,-75.1103,13.36,80,33,3.66,PE,1730339594
16,san luis de la loma,17.2706,-100.8939,26.82,86,100,2.37,MX,1730339179
17,mangrol,21.1167,70.1167,26.4,54,1,3.4,IN,1730339596
18,albany,42.6001,-73.9662,18.03,79,100,0.89,US,1730339599
19,mil'kovo,55.6078,37.7956,4.63,47,44,6.92,RU,1730339600
20,atafu village,-8.5421,-172.5159,28.26,69,99,6.24,TK,1730339601
21,quelimane,-17.8786,36.8883,25.97,88,75,3.13,MZ,1730339602
22,udachny,66.4167,112.4,-19.53,100,94,1.56,RU,1730339604
23,badger,64.8,-147.5333,-10.05,80,0,1.54,US,1730339606
24,morehead city,34.7229,-76.726,21.1,82,0,2.06,US,1730339607
25,port elizabeth,-33.918,25.5701,16.16,89,75,1.03,ZA,1730339608
26,newman,37.3138,-121.0208,15.59,34,4,2.83,US,1730339610
27,ilulissat,69.2167,-51.1,-8.99,38,100,10.29,GL,1730339611
28,meiganga,6.5167,14.3,17.63,68,93,1.68,CM,1730339613
29,invercargill,-46.4,168.35,12.23,86,100,6.26,NZ,1730339614
30,bilibino,68.0546,166.4372,-12.57,90,100,3.22,RU,1730339615
31,trairi,-3.2778,-39.2689,25.26,77,89,5.05,BR,1730339616
32,kavaratti,10.5669,72.642,27.4,67,36,1.71,IN,1730339617
33,san patricio,28.017,-97.5169,26.97,79,1,5.81,US,1730339618
34,wailua homesteads,22.0669,-159.378,26.44,80,40,7.72,US,1730339620
35,ceeldheer,3.8488,47.1806,25.85,87,63,3.25,SO,1730339621
36,waitangi,-43.9535,-176.5597,13.79,80,22,4.47,NZ,1730339622
